type_habit,prix,image_lien,quartier,region
Peignoir,9000,https://images.coinafrique.com/thumb_3861861_uploaded_image1_1662248159.jpg,HLM, Dakar
Ensembles,7000,https://images.coinafrique.com/thumb_3899030_uploaded_image1_1664501471.jpg,Parcelle Assainies, Dakar
Ensemble,6500,https://images.coinafrique.com/thumb_3899029_uploaded_image1_1664501377.jpg,Parcelle Assainies, Dakar
Ensemble3pièces,16000,https://images.coinafrique.com/thumb_3895855_uploaded_image1_1664312610.jpg,Dakar, Sénégal
,6000,https://images.coinafrique.com/thumb_3874861_uploaded_image1_1662992831.jpg,Dakar, Sénégal
,5000,https://images.coinafrique.com/thumb_3874843_uploaded_image1_1662992214.jpg,Dakar, Sénégal
Vêtements,16000,https://images.coinafrique.com/thumb_3886071_uploaded_image2_1663709027.jpeg,Dakar, Sénégal
Ensemble,5000,https://images.coinafrique.com/thumb_3829807_uploaded_image1_1660481871.jpg,Dakar, Sénégal
Ensemble,5500,https://images.coinafrique.com/thumb_3826455_uploaded_image1_1660258744.jpg,Dakar, Sénégal
Vêtementsbébé,3000,https://images.coinafrique.com/thumb_3871259_uploaded_image1_1662747991.jpg,Keur Massar, Sénégal
Vêtements,3000,https://images.coinafrique.com/thumb_3871253_uploaded_image1_1662747853.jpg,Keur Massar, Sénégal
Vêtements,5500,https://images.coinafrique.com/thumb_3818666_uploaded_image1_1659825338.jpg,Dakar, Sénégal
Robed’anniversaire,10000,https://images.coinafrique.com/thumb_3853493_uploaded_image1_1661883220.jpg,Dakar Plateau, Dakar
Robed’anniversaire,7000,https://images.coinafrique.com/thumb_3853488_uploaded_image1_1661883039.jpg,Dakar Plateau, Dakar
Ensemblebandeaux,1500,https://images.coinafrique.com/thumb_3813301_uploaded_image1_1659543149.jpg,Dakar, Sénégal
,5000,https://images.coinafrique.com/thumb_3813274_uploaded_image1_1659542533.jpg,Dakar, Sénégal
Robeen,4500,https://images.coinafrique.com/thumb_3846445_uploaded_image1_1661437437.jpg,HLM, Dakar
Robeen,5000,https://images.coinafrique.com/thumb_3846437_uploaded_image1_1661437244.jpg,HLM, Dakar
